date,interest_income,interest_expense,average_earning_assets,net_income,total_assets,shareholder_equity,operating_expenses,operating_income,market_share,stock_price,net_interest_income,net_interest_margin,return_on_assets,return_on_equity,cost_to_income_ratio
2022-01-27,2191335.0,505801.0,55692493.0,1021172.0,81847865.0,23842411.0,848066.0,4034262.0,26.0,107.0,1685534.1,3.03,1.25,4.28,21.02
2022-01-28,,650262.0,58247752.0,,94921595.0,26310208.0,890706.0,3082279.0,14.0,118.0,,,,,28.9
2022-01-31,2041090.0,942905.0,51087341.0,1996121.0,94568974.0,29404024.0,1324446.0,3015434.0,25.0,111.0,1098185.0,2.15,2.11,6.79,43.92
2022-02-01,2329365.0,735362.0,56195200.0,1577564.0,95674529.0,26127764.0,1497232.0,3719407.0,16.0,131.0,1594003.0,2.84,1.65,6.04,40.25
2022-02-02,2064820.0,944209.0,53977266.0,1581780.0,89308092.0,25859046.0,1463935.0,3440991.0,18.0,120.0,1120611.0,2.08,1.77,6.12,42.54
2022-02-03,2787201.0,529592.0,55558956.0,1708362.0,84017136.0,26034207.0,1026022.0,3337913.0,12.0,180.0,2257609.0,4.06,2.03,6.56,30.74
2022-02-04,2321879.0,772791.0,53031756.0,1513319.0,93869848.0,27940879.0,980852.0,4818618.0,24.0,59.0,1549088.0,2.92,1.61,5.42,20.36
2022-02-07,2718315.0,639788.0,50843523.0,1780298.0,97122071.0,23341861.0,1368179.0,3328821.0,25.0,147.0,2078527.0,4.09,1.83,7.63,41.1
2022-02-08,2327069.0,719963.0,58934845.0,1876031.0,85750283.0,27359201.0,1430265.0,3083555.0,27.0,138.0,1607105.9,2.73,2.19,6.86,46.38
2022-02-09,2776997.0,980761.0,54040479.0,1989859.0,81074961.0,22615804.0,1288158.0,4701243.0,23.0,84.0,1796236.0,3.32,2.45,8.8,27.4
2022-02-10,2199041.0,748710.0,50092193.0,1222320.0,91950571.0,24312717.0,1233571.0,4789856.0,12.0,51.0,1450331.0,2.9,1.33,5.03,25.75
2022-02-11,2791743.0,720984.0,51186887.0,1417978.0,99155151.0,21982243.0,1385933.0,4812375.0,21.0,173.0,2070759.0,4.05,1.43,6.45,28.8
2022-02-14,2103355.0,872771.0,58896761.0,1011046.0,97911322.0,23413654.0,1124149.0,3176806.0,18.0,73.0,1230584.0,2.09,1.03,4.32,35.39
2022-02-15,2235796.0,832460.0,53334817.0,1228071.0,92866619.0,25986417.0,1230062.0,4936673.0,16.0,123.0,1403336.0,2.63,1.32,4.73,24.92
2022-02-16,2214176.0,758067.0,52715514.0,1378165.0,82474968.0,27863020.0,903127.0,4530295.0,18.0,71.0,1456109.0,2.76,1.67,4.95,19.94
2022-02-17,,764512.0,52658571.0,,86166160.0,23270209.0,842055.0,3433819.0,22.0,88.0,,,,,24.52
2022-02-18,2347449.0,1732725.0,54834357.0,3417324.0,93569332.0,28604008.0,1320756.0,4518500.0,27.0,69.0,614724.0,1.12,3.65,11.95,29.23
2022-02-22,2421909.0,768799.0,57102173.0,1416366.0,82442266.0,27323988.0,1225069.0,3999430.0,14.0,90.0,1653110.1,2.9,1.72,5.18,30.63
2022-02-23,2989436.0,2212647.0,54892472.0,3971502.0,84437677.0,23324664.0,814586.0,3068803.0,22.0,197.0,776788.94,1.42,4.7,17.03,26.54
2022-02-24,2258795.0,570031.0,50481680.0,1266997.0,93793267.0,28210880.0,1149916.0,4481124.0,13.0,157.0,1688764.0,3.35,1.35,4.49,25.66
2022-02-25,2486232.0,969645.0,55165679.0,1645188.0,89607366.0,23594058.0,989768.0,4926711.0,11.0,196.0,1516587.0,2.75,1.84,6.97,20.09
2022-02-28,2917040.0,984299.0,56180142.0,1482615.0,85241218.0,24584258.0,1231111.0,3807744.0,25.0,133.0,1932741.0,3.44,1.74,6.03,32.33
2022-03-01,2500186.0,587922.0,55287118.0,1415008.0,85481140.0,28117654.0,1242777.0,3748736.0,18.0,160.0,1912264.0,3.46,1.66,5.03,33.15
2022-03-02,,948982.0,54100673.0,,84981262.0,24212377.0,871033.0,4526318.0,18.0,115.0,,,,,19.24
2022-03-03,2870910.0,624046.0,51534026.0,1761379.0,85290717.0,29633233.0,1212880.0,3699539.0,15.0,102.0,2246864.0,4.36,2.07,5.94,32.78
2022-03-04,2384681.0,906619.0,58704434.0,1205550.0,80518349.0,20233782.0,991262.0,4775378.0,20.0,83.0,1478062.1,2.52,1.5,5.96,20.76
2022-03-07,2149503.0,532097.0,53467366.0,1244883.0,99659206.0,26906117.0,800417.0,3245404.0,10.0,199.0,1617406.1,3.03,1.25,4.63,24.66
2022-03-08,2654811.0,971873.0,50327359.0,1638418.0,80797968.0,26112674.0,781816.0,3642249.0,13.0,116.0,1682937.9,3.34,2.03,6.27,21.47
2022-03-09,2527035.0,642038.0,50317537.0,1460514.0,82655971.0,24809109.0,1377623.0,4351099.0,22.0,183.0,1884997.0,3.75,1.77,5.89,31.66
2022-03-10,2648143.0,624862.0,56953757.0,1949491.0,95999496.0,23735466.0,975709.0,3017297.0,22.0,76.0,2023281.0,3.55,2.03,8.21,32.34
2022-03-11,2452366.0,730229.0,50550222.0,1671210.0,99651515.0,21583246.0,1375714.0,3788443.0,22.0,59.0,1722137.0,3.41,1.68,7.74,36.31
2022-03-14,2065725.0,618834.0,54975026.0,1929616.0,87339838.0,20726331.0,874023.0,4557922.0,11.0,122.0,1446891.0,2.63,2.21,9.31,19.18
2022-03-15,2129981.0,593848.0,57795134.0,1121789.0,93236949.0,21794291.0,1247936.0,4168810.0,18.0,145.0,1536133.0,2.66,1.2,5.15,29.94
2022-03-16,,552921.0,52573619.0,,96520181.0,26353385.0,1143945.0,3568302.0,17.0,97.0,,,,,32.06
2022-03-17,2953277.0,680798.0,52453752.0,1700780.0,94467188.0,24952075.0,741971.0,4816030.0,16.0,119.0,2272479.0,4.33,1.8,6.82,15.41
2022-03-18,2905778.0,626141.0,59752741.0,1563178.0,98581889.0,23898606.0,718658.0,3929242.0,13.0,149.0,2279637.0,3.82,1.59,6.54,18.29
2022-03-21,2591723.0,681372.0,57265760.0,1066017.0,82938199.0,22878117.0,721253.0,4929341.0,27.0,108.0,1910351.0,3.34,1.29,4.66,14.63
2022-03-22,2319030.0,784821.0,51353038.0,1178376.0,95286855.0,24481617.0,1157382.0,4227146.0,12.0,51.0,1534209.0,2.99,1.24,4.81,27.38
2022-03-23,2328947.0,555609.0,58639483.0,1688281.0,88998604.0,27374626.0,879635.0,3783152.0,15.0,114.0,1773337.9,3.02,1.9,6.17,23.25
2022-03-24,2555839.0,2183691.0,54657693.0,2998274.0,84909776.0,25287913.0,857462.0,3797552.0,21.0,132.0,372148.0,0.68,3.53,11.86,22.58
2022-03-25,2902648.0,949877.0,54264694.0,1656884.0,96355399.0,23733149.0,1050808.0,4558309.0,21.0,59.0,1952771.0,3.6,1.72,6.98,23.05
2022-03-28,2273538.0,531024.0,50707689.0,1624712.0,95724308.0,25316741.0,1406938.0,4974847.0,17.0,102.0,1742513.9,3.44,1.7,6.42,28.28
2022-03-29,2331236.0,570313.0,51296516.0,1801480.0,89167121.0,22804802.0,910097.0,4333572.0,10.0,128.0,1760923.0,3.43,2.02,7.9,21.0
2022-03-30,,889957.0,59945225.0,,83303389.0,24157263.0,1328138.0,4389959.0,13.0,108.0,,,,,30.25
2022-03-31,2565894.0,684078.0,53463351.0,1693264.0,88025407.0,24488198.0,1362212.0,4442721.0,20.0,199.0,1881816.0,3.52,1.92,6.91,30.66
2022-04-01,2489492.0,857429.0,59653648.0,1841344.0,94501229.0,29515406.0,1220498.0,4781423.0,12.0,97.0,1632063.0,2.74,1.95,6.24,25.53
2022-04-04,2256840.0,908554.0,51854971.0,1558296.0,93476005.0,22733460.0,926058.0,3511603.0,22.0,198.0,1348286.1,2.6,1.67,6.85,26.37
2022-04-05,2473254.0,961243.0,59038807.0,1393276.0,91167263.0,27084609.0,1357911.0,3615863.0,26.0,172.0,1512011.0,2.56,1.53,5.14,37.55
2022-04-06,2349457.0,985988.0,51849396.0,1730026.0,83151882.0,26216538.0,1285289.0,4043659.0,19.0,71.0,1363469.0,2.63,2.08,6.6,31.79
2022-04-07,2665987.0,613632.0,52691276.0,1607847.0,83210016.0,24115362.0,880231.0,3507365.0,21.0,149.0,2052355.0,3.9,1.93,6.67,25.1
2022-04-08,2270936.0,973351.0,59017469.0,1055337.0,86737320.0,21252557.0,822775.0,4667904.0,24.0,147.0,1297585.0,2.2,1.22,4.97,17.63
2022-04-11,,912724.0,52526954.0,,82389383.0,21490687.0,1257531.0,4197086.0,19.0,74.0,,,,,29.96
2022-04-12,,751451.0,56549546.0,,96941269.0,29311768.0,1377160.0,4228163.0,23.0,77.0,,,,,32.57
2022-04-13,2205041.0,503051.0,58007407.0,1024354.0,94464087.0,24057025.0,1019972.0,4578608.0,22.0,162.0,1701990.1,2.93,1.08,4.26,22.28
2022-04-14,2698361.0,679819.0,57385034.0,1045186.0,85282379.0,25272864.0,961716.0,4787756.0,14.0,94.0,2018542.1,3.52,1.23,4.14,20.09
2022-04-15,2731912.0,876836.0,57063410.0,1552433.0,89825144.0,23788963.0,1100455.0,4484209.0,15.0,117.0,1855076.0,3.25,1.73,6.53,24.54
2022-04-18,2417113.0,980358.0,59050222.0,1427236.0,82542637.0,23874910.0,968854.0,4022788.0,11.0,56.0,1436755.0,2.43,1.73,5.98,24.08
2022-04-19,2068148.0,587235.0,58001482.0,1610411.0,88033951.0,23368045.0,1114600.0,4973149.0,26.0,98.0,1480913.0,2.55,1.83,6.89,22.41
2022-04-20,2777089.0,947237.0,59055605.0,1499883.0,91779534.0,25185773.0,871918.0,3828791.0,13.0,186.0,1829852.0,3.1,1.63,5.96,22.77
2022-04-21,2648531.0,697484.0,51072647.0,1730546.0,84158549.0,24832691.0,919055.0,4723735.0,23.0,132.0,1951047.0,3.82,2.06,6.97,19.46
2022-04-22,,689407.0,51631107.0,,89734816.0,20968616.0,1000135.0,3360890.0,19.0,178.0,,,,,29.76
2022-04-25,,949395.0,59417063.0,,90167207.0,24217733.0,1434417.0,3749122.0,12.0,187.0,,,,,38.26
2022-04-26,2678843.0,925309.0,55106563.0,1613217.0,88411039.0,27914520.0,1100187.0,3645194.0,12.0,122.0,1753534.1,3.18,1.82,5.78,30.18
2022-04-27,2910790.0,962894.0,58234679.0,1285195.0,96052465.0,29639564.0,1122355.0,3201260.0,24.0,95.0,1947896.0,3.34,1.34,4.34,35.06
2022-04-28,2572843.0,711810.0,56463768.0,1575762.0,89035616.0,21490036.0,908139.0,4793795.0,15.0,155.0,1861033.0,3.3,1.77,7.33,18.94
2022-04-29,2256508.0,932950.0,59694402.0,1616036.0,88962049.0,22869729.0,780257.0,3777881.0,26.0,81.0,1323558.0,2.22,1.82,7.07,20.65
2022-05-02,2803591.0,703687.0,55606594.0,1125995.0,92851424.0,27585159.0,1177958.0,4811610.0,21.0,55.0,2099904.0,3.78,1.21,4.08,24.48
2022-05-03,2896942.0,573523.0,51950367.0,1245690.0,88284960.0,27179156.0,706530.0,4580461.0,29.0,194.0,2323419.0,4.47,1.41,4.58,15.42
2022-05-04,2106530.0,736175.0,51910705.0,1331770.0,98827165.0,29454531.0,973260.0,3833525.0,20.0,123.0,1370355.0,2.64,1.35,4.52,25.39
2022-05-05,2604365.0,594476.0,51601596.0,1793392.0,88388512.0,28944718.0,1290082.0,4479018.0,13.0,163.0,2009889.0,3.9,2.03,6.2,28.8
2022-05-06,2822352.0,733841.0,53791481.0,1428988.0,98045516.0,29352771.0,910545.0,4251775.0,15.0,76.0,2088511.0,3.88,1.46,4.87,21.42
2022-05-09,2460337.0,779163.0,55123122.0,1939024.0,81947763.0,27904428.0,1357258.0,3376794.0,10.0,103.0,1681174.1,3.05,2.37,6.95,40.19
2022-05-10,2724839.0,845757.0,57757202.0,1180553.0,87654502.0,24202271.0,1228423.0,4533161.0,29.0,134.0,1879081.9,3.25,1.35,4.88,27.1
2022-05-11,2805889.0,2168598.0,56348564.0,3121392.0,83882149.0,24042879.0,1071616.0,4781298.0,25.0,176.0,637291.0,1.13,3.72,12.98,22.41
2022-05-12,2459773.0,586672.0,54150276.0,1880438.0,88439469.0,22322523.0,1178336.0,4730353.0,24.0,160.0,1873101.0,3.46,2.13,8.42,24.91
2022-05-13,2208261.0,573847.0,55723601.0,1259568.0,95941617.0,29601869.0,1475158.0,3936197.0,26.0,64.0,1634414.1,2.93,1.31,4.26,37.48
2022-05-16,2764469.0,844894.0,55354075.0,1319278.0,84845710.0,24746771.0,1313375.0,4521466.0,17.0,181.0,1919575.0,3.47,1.55,5.33,29.05
2022-05-17,2341097.0,710706.0,55279548.0,1151563.0,89109609.0,28640145.0,1420391.0,3383100.0,21.0,142.0,1630391.0,2.95,1.29,4.02,41.98
2022-05-18,2315139.0,528251.0,52382357.0,1656701.0,94689142.0,21756124.0,979215.0,3115598.0,19.0,172.0,1786888.0,3.41,1.75,7.61,31.43
2022-05-19,2171829.0,603481.0,57904069.0,1699983.0,92907824.0,20841531.0,720074.0,3250100.0,24.0,122.0,1568348.0,2.71,1.83,8.16,22.16
2022-05-20,2271836.0,874710.0,52245131.0,1614615.0,95538122.0,20864645.0,1446084.0,3782877.0,18.0,196.0,1397126.1,2.67,1.69,7.74,38.23
2022-05-23,2438974.0,525945.0,54246049.0,1393554.0,94391234.0,21428127.0,1292131.0,3708521.0,11.0,141.0,1913029.0,3.53,1.48,6.5,34.84
2022-05-24,,2558988.0,58480473.0,,81443717.0,25130076.0,739901.0,3776676.0,14.0,66.0,,,,,19.59
2022-05-25,2202283.0,532217.0,55455770.0,1143326.0,84409352.0,28859690.0,973349.0,3133241.0,15.0,92.0,1670065.9,3.01,1.35,3.96,31.07
2022-05-26,2196769.0,508308.0,51072200.0,1707220.0,95329502.0,24254849.0,1492338.0,4788028.0,16.0,170.0,1688461.0,3.31,1.79,7.04,31.17
2022-05-27,2561353.0,768093.0,52906158.0,1011344.0,89594271.0,27574587.0,1095807.0,4201700.0,10.0,90.0,1793260.0,3.39,1.13,3.67,26.08
2022-05-31,2223165.0,683062.0,51222869.0,1394966.0,88421928.0,26515350.0,1287275.0,4513641.0,16.0,88.0,1540103.0,3.01,1.58,5.26,28.52
2022-06-01,2623587.0,2683098.0,53125354.0,3944520.0,96241927.0,28336900.0,1042829.0,4253499.0,29.0,162.0,-59511.0,-0.11,4.1,13.92,24.52
2022-06-02,2950110.0,720552.0,59818159.0,1592245.0,88752967.0,21615777.0,1072598.0,3008036.0,21.0,160.0,2229558.0,3.73,1.79,7.37,35.66
2022-06-03,2535822.0,600235.0,54782883.0,1105423.0,93526705.0,23512664.0,1067631.0,4604642.0,25.0,96.0,1935587.0,3.53,1.18,4.7,23.19
2022-06-06,2487879.0,574740.0,56501632.0,1320197.0,81308507.0,20973181.0,1278688.0,3945238.0,25.0,112.0,1913139.0,3.39,1.62,6.29,32.41
2022-06-07,2564685.0,878496.0,59302640.0,1464071.0,89331795.0,21491633.0,856222.0,4202821.0,20.0,159.0,1686189.0,2.84,1.64,6.81,20.37
2022-06-08,2782038.0,828761.0,53982588.0,1671256.0,95086909.0,29922462.0,731852.0,4734339.0,13.0,118.0,1953277.0,3.62,1.76,5.59,15.46
2022-06-09,2353531.0,725913.0,58083123.0,1186833.0,92382318.0,22061774.0,1213012.0,3983825.0,22.0,92.0,1627617.9,2.8,1.28,5.38,30.45
2022-06-10,2263160.0,779040.0,59956046.0,1717912.0,89986298.0,22790358.0,1077501.0,3202747.0,16.0,83.0,1484120.0,2.48,1.91,7.54,33.64
2022-06-13,2579879.0,892942.0,56160686.0,1775435.0,80100734.0,23860562.0,1343340.0,4972424.0,13.0,89.0,1686937.0,3.0,2.22,7.44,27.02
2022-06-14,2220884.0,677247.0,59306167.0,1077454.0,88546310.0,26976610.0,756481.0,3543088.0,24.0,110.0,1543637.0,2.6,1.22,3.99,21.35
2022-06-15,2023247.0,638877.0,50635605.0,1257594.0,99628490.0,21765524.0,1487715.0,4336092.0,28.0,111.0,1384369.9,2.73,1.26,5.78,34.31
2022-06-16,2024300.0,505237.0,57479821.0,1511897.0,98003027.0,21250632.0,733691.0,4372236.0,18.0,107.0,1519063.0,2.64,1.54,7.11,16.78
2022-06-17,,520056.0,54583897.0,,83081091.0,26210715.0,1094341.0,4855546.0,20.0,124.0,,,,,22.54
2022-06-21,2607086.0,676615.0,59203739.0,1909164.0,96002437.0,28526086.0,898137.0,3850350.0,17.0,65.0,1930471.0,3.26,1.99,6.69,23.33
2022-06-22,2533556.0,687628.0,57413718.0,1516142.0,91091989.0,23243087.0,1250458.0,3932477.0,10.0,131.0,1845928.0,3.22,1.66,6.52,31.8
2022-06-23,2348951.0,1843644.0,50067661.0,3890878.0,98645886.0,20909711.0,1232726.0,4381875.0,17.0,143.0,505307.0,1.01,3.94,18.61,28.13
2022-06-24,2274329.0,873632.0,56859991.0,1037641.0,92681730.0,23711584.0,1371514.0,3755600.0,22.0,97.0,1400697.0,2.46,1.12,4.38,36.52
2022-06-27,,634415.0,57585153.0,,87265406.0,26913283.0,1101220.0,4108076.0,13.0,187.0,,,,,26.81
2022-06-28,2742139.0,906716.0,55914988.0,1856774.0,92735272.0,21619715.0,1496184.0,3167647.0,17.0,131.0,1835423.0,3.28,2.0,8.59,47.23
2022-06-29,2432315.0,946438.0,56558221.0,1369040.0,84755469.0,22590310.0,755426.0,3236527.0,12.0,87.0,1485877.0,2.63,1.62,6.06,23.34
2022-06-30,2926075.0,529375.0,51307506.0,1667542.0,95053770.0,26314768.0,939968.0,3435477.0,18.0,176.0,2396700.0,4.67,1.75,6.34,27.36
2022-07-01,2516588.0,1922202.0,52901614.0,3224242.0,87974411.0,29349220.0,988963.0,4683523.0,11.0,68.0,594386.0,1.12,3.66,10.99,21.12
2022-07-05,2236584.0,516964.0,52966422.0,1318420.0,94150540.0,28324454.0,1195384.0,3552004.0,11.0,112.0,1719620.0,3.25,1.4,4.65,33.65
2022-07-06,2562332.0,613429.0,53708654.0,1281685.0,91666968.0,28815995.0,1221121.0,4445028.0,22.0,126.0,1948903.0,3.63,1.4,4.45,27.47
2022-07-07,2837646.0,752764.0,57315436.0,1880889.0,99739948.0,26726451.0,855289.0,4457640.0,24.0,180.0,2084881.9,3.64,1.89,7.04,19.19
2022-07-08,2978732.0,690710.0,50118033.0,1475526.0,81992825.0,28064220.0,961501.0,3002352.0,21.0,151.0,2288022.0,4.57,1.8,5.26,32.02
2022-07-11,2376896.0,966882.0,59018873.0,1044813.0,83832978.0,21544613.0,1219165.0,3133004.0,13.0,114.0,1410014.1,2.39,1.25,4.85,38.91
2022-07-12,2048984.0,716139.0,55872354.0,1692558.0,86152941.0,21297638.0,919780.0,3862881.0,17.0,169.0,1332845.0,2.39,1.96,7.95,23.81
2022-07-13,2302918.0,567215.0,51215502.0,1664180.0,84115811.0,27134897.0,995138.0,4581420.0,18.0,140.0,1735703.0,3.39,1.98,6.13,21.72
2022-07-14,2264712.0,831186.0,59810404.0,1286214.0,88983212.0,27748670.0,1370396.0,3786261.0,14.0,57.0,1433526.1,2.4,1.45,4.64,36.19
2022-07-15,2120151.0,644356.0,52319049.0,1987272.0,90438535.0,22430525.0,1432635.0,4397556.0,29.0,122.0,1475795.0,2.82,2.2,8.86,32.58
2022-07-18,2455808.0,703861.0,56292518.0,1928626.0,99951324.0,27439103.0,797756.0,3660858.0,27.0,183.0,1751947.0,3.11,1.93,7.03,21.79
2022-07-19,2985067.0,977880.0,57587768.0,1342703.0,82731638.0,22456070.0,1142632.0,3731478.0,20.0,156.0,2007187.0,3.49,1.62,5.98,30.62
2022-07-20,2133767.0,855612.0,53720464.0,1204615.0,97041716.0,28878234.0,795665.0,3050098.0,24.0,138.0,1278155.0,2.38,1.24,4.17,26.09
2022-07-21,2648663.0,954605.0,52192614.0,1476657.0,90556086.0,20288859.0,1356005.0,3981890.0,18.0,88.0,1694057.9,3.25,1.63,7.28,34.05
2022-07-22,2703550.0,509435.0,50770173.0,1566074.0,99753247.0,25008341.0,862002.0,3374313.0,26.0,162.0,2194115.0,4.32,1.57,6.26,25.55
2022-07-25,2136330.0,947556.0,55642264.0,1750294.0,82903633.0,24749766.0,961691.0,3664929.0,21.0,77.0,1188774.0,2.14,2.11,7.07,26.24
2022-07-26,2480754.0,675150.0,50467010.0,1755164.0,81940369.0,21546236.0,1306123.0,3247199.0,16.0,146.0,1805604.0,3.58,2.14,8.15,40.22
2022-07-27,2301648.0,840976.0,51655016.0,1399953.0,88127125.0,28982913.0,822232.0,3126060.0,19.0,86.0,1460672.0,2.83,1.59,4.83,26.3
2022-07-28,2688519.0,551293.0,54221038.0,1822494.0,97994276.0,24257341.0,1442849.0,4236530.0,19.0,186.0,2137226.0,3.94,1.86,7.51,34.06
2022-07-29,2013986.0,2967591.0,59312483.0,3943482.0,97808735.0,23759834.0,1145358.0,4774329.0,22.0,131.0,-953604.94,-1.61,4.03,16.6,23.99
2022-08-01,2586146.0,578781.0,58376430.0,1838003.0,94672183.0,22627988.0,943051.0,3130544.0,28.0,105.0,2007365.0,3.44,1.94,8.12,30.12
2022-08-02,2129312.0,691475.0,53880993.0,1287654.0,84678714.0,25477093.0,857547.0,3524628.0,20.0,134.0,1437837.0,2.67,1.52,5.05,24.33
2022-08-03,2012666.0,660196.0,52568103.0,1281570.0,88109698.0,28592974.0,1112104.0,3699309.0,22.0,51.0,1352470.1,2.57,1.45,4.48,30.06
2022-08-04,2300804.0,726507.0,58469872.0,1037265.0,94609307.0,20502420.0,1268020.0,3606590.0,17.0,107.0,1574297.0,2.69,1.1,5.06,35.16
2022-08-05,2134633.0,806063.0,58411883.0,1935354.0,98167497.0,25529046.0,1436983.0,3979947.0,17.0,156.0,1328570.0,2.27,1.97,7.58,36.11
2022-08-08,2288998.0,739833.0,56482532.0,1249321.0,82322466.0,21679161.0,1008449.0,3747028.0,13.0,172.0,1549165.0,2.74,1.52,5.76,26.91
2022-08-09,2850937.0,752377.0,55196467.0,1066150.0,87778748.0,29426807.0,1401397.0,3467243.0,24.0,163.0,2098560.0,3.8,1.21,3.62,40.42
2022-08-10,2628776.0,666319.0,55952793.0,1611600.0,88099932.0,20660902.0,1233634.0,3524426.0,20.0,156.0,1962457.0,3.51,1.83,7.8,35.0
2022-08-11,2707611.0,621172.0,58961343.0,1089613.0,98628533.0,27562116.0,1487019.0,3393574.0,20.0,86.0,2086439.0,3.54,1.1,3.95,43.82
2022-08-12,2284806.0,856902.0,52000609.0,1337054.0,81946830.0,21538112.0,712763.0,4692483.0,10.0,128.0,1427904.0,2.75,1.63,6.21,15.19
2022-08-15,2794824.0,984963.0,59301434.0,1838807.0,99391366.0,21726676.0,890237.0,3468466.0,26.0,141.0,1809861.0,3.05,1.85,8.46,25.67
2022-08-16,2030535.0,955968.0,52697143.0,1121826.0,87238987.0,29758681.0,1462841.0,3871808.0,24.0,67.0,1074567.0,2.04,1.29,3.77,37.78
2022-08-17,2996107.0,818717.0,59251130.0,1559723.0,89957168.0,21685996.0,1129332.0,4672795.0,29.0,147.0,2177390.0,3.67,1.73,7.19,24.17
2022-08-18,2375713.0,559101.0,59192300.0,1882875.0,84660061.0,23246417.0,1345275.0,4996734.0,15.0,112.0,1816612.0,3.07,2.22,8.1,26.92
2022-08-19,2838688.0,995972.0,59549765.0,1450348.0,82605214.0,29091044.0,916823.0,3156951.0,24.0,199.0,1842716.0,3.09,1.76,4.99,29.04
2022-08-22,2351279.0,788790.0,51314532.0,1210017.0,87923641.0,21352144.0,791353.0,3867964.0,18.0,188.0,1562489.0,3.04,1.38,5.67,20.46
2022-08-23,,866329.0,50421240.0,,82229180.0,21551330.0,921373.0,3842210.0,23.0,53.0,,,,,23.98
2022-08-24,,523049.0,50944789.0,,90717207.0,20971248.0,1057792.0,3562060.0,27.0,184.0,,,,,29.7
2022-08-25,2601661.0,710677.0,52213573.0,1490457.0,95540627.0,24657851.0,1249844.0,4107054.0,26.0,110.0,1890984.0,3.62,1.56,6.04,30.43
2022-08-26,,860260.0,58914501.0,,96169764.0,26695306.0,1242387.0,4506145.0,27.0,156.0,,,,,27.57
2022-08-29,2647972.0,859523.0,52255363.0,1809942.0,89384451.0,25378750.0,1071233.0,3551050.0,14.0,103.0,1788449.0,3.42,2.02,7.13,30.17
2022-08-30,2489570.0,568385.0,58375741.0,1733547.0,84188891.0,22607411.0,876168.0,4192931.0,29.0,137.0,1921185.0,3.29,2.06,7.67,20.9
2022-08-31,2456551.0,626131.0,55056861.0,1696358.0,96541035.0,21693439.0,1427346.0,4767858.0,29.0,117.0,1830420.0,3.32,1.76,7.82,29.94
2022-09-01,2273109.0,933374.0,56436446.0,1450062.0,89014653.0,21831094.0,1368590.0,3694780.0,18.0,178.0,1339735.0,2.37,1.63,6.64,37.04
